num,image,title,price,make_year,engine_cc,availability,transmission,exterior,fuel,drive,details_link,reserve_link
MTH2564,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_382fab4ca7ec768f5d200ef31b58596d_05042023025324.JPG,Mazda Axela Sedan,Request Price Below,2015,1500 CC,In Stock,Auto,White,Petrol,2 WD,https://www.motorhub.co.ke/detail/mazda-axela-994,https://www.motorhub.co.ke/reserve/mazda-axela-994
MTH2563,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_719b96a64464b2b01533f056013108ee_03042023044707.JPG,Toyota FJ Cruiser ,"KSh 3,600,000",2012,4000 CC,In Stock,Auto,Blue,Petrol,4 WD,https://www.motorhub.co.ke/detail/toyota-fj-cruiser-993,https://www.motorhub.co.ke/reserve/toyota-fj-cruiser-993
MTH2562,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_fe1c3c2e2116cdb556215270501f3d34_03042023043721.JPG,Toyota Crown ,"KSh 1,500,000",2010,2500 CC,In Stock,Auto,Pearl,Petrol,2 WD,https://www.motorhub.co.ke/detail/toyota-crown-992,https://www.motorhub.co.ke/reserve/toyota-crown-992
MTH2561,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_285ff0e035c4e27935067d648bcd945c_03042023042418.JPG,Volkswagen Touareg ,Price on request,2004,3200 CC,In Stock,Auto,Black,Diesel,2 WD,https://www.motorhub.co.ke/detail/volkswagen-touareg-991,https://www.motorhub.co.ke/reserve/volkswagen-touareg-991
MTH2560,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_dda4bfbcd476269905e512a951ccbeb5_03042023041155.JPG,Ford Ranger ,"KSh 5,100,000",2015,3200 CC,In Stock,Auto,Orange,Diesel,4 WD,https://www.motorhub.co.ke/detail/ford-ranger-990,https://www.motorhub.co.ke/reserve/ford-ranger-990
MTH2559,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_ed8f27f94f5c3fc938dcb5ae2b641295_03042023035501.JPG,Nissan Note ,Price on request,2015,1200 CC,In Stock,Auto,Grey,Petrol,2 WD,https://www.motorhub.co.ke/detail/nissan-note-989,https://www.motorhub.co.ke/reserve/nissan-note-989
MTH2558,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_2cad485a1f730125623412b4865f3c18_03042023034713.JPG,Nissan Note ,Price on request,2016,1200 CC,In Stock,Auto,Blue,Petrol,2 WD,https://www.motorhub.co.ke/detail/nissan-note-988,https://www.motorhub.co.ke/reserve/nissan-note-988
MTH2557,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_70ab82cb81577c143bf204eba44d8111_03042023033959.JPG,Nissan Note ,Price on request,2015,1200 CC,In Stock,Auto,White,Petrol,2 WD,https://www.motorhub.co.ke/detail/nissan-note-987,https://www.motorhub.co.ke/reserve/nissan-note-987
MTH2555,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_6f0415ce771a4285009c8d6597360508_03042023032111.JPG,Toyota Noah ,Price on request,2014,2000 CC,In Stock,Auto,Black,Petrol,2 WD,https://www.motorhub.co.ke/detail/toyota-noah-985,https://www.motorhub.co.ke/reserve/toyota-noah-985
MTH2554,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_3c792a0259368f3fbb9010ef64f4f073_03042023030315.JPG,Daihatsu Mira ,Price on request,2014,650 CC,In Stock,Auto,Black,Petrol,2 WD,https://www.motorhub.co.ke/detail/daihatsu-mira-984,https://www.motorhub.co.ke/reserve/daihatsu-mira-984
MTH2552,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_ec310f0238b556a82818aad1991cf359_03042023125206.JPG,Subaru Forester ,Price on request,2016,2000 CC,In Stock,Auto,Black,Petrol,2 WD,https://www.motorhub.co.ke/detail/subaru-forester-982,https://www.motorhub.co.ke/reserve/subaru-forester-982
MTH2549,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_d42e1f32e14caa6b627cb72f54492a57_30032023032241.JPG,Subaru Outback ,Price on request,2015,2500 CC,In Stock,Auto,Gold,Petrol,2 WD,https://www.motorhub.co.ke/detail/subaru-outback-979,https://www.motorhub.co.ke/reserve/subaru-outback-979
MTH2548,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_dc60295bcfea200720b46d0fe342756c_30032023025153.JPG,Subaru Impreza ,Price on request,2015,2000 CC,In Stock,Auto,Silver,Petrol,2 WD,https://www.motorhub.co.ke/detail/subaru-impreza-978,https://www.motorhub.co.ke/reserve/subaru-impreza-978
MTH2546,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_373b47cf304130869253e7329b95ca9f_30032023124044.JPG,Lexus RX200T ,Price on request,2016,2000 CC,In Stock,Auto,Blue,Petrol,4 WD,https://www.motorhub.co.ke/detail/lexus-rx200t-976,https://www.motorhub.co.ke/reserve/lexus-rx200t-976
MTH2545,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_92983b59e26815948205cdb4edab9c81_30032023122808.JPG,Volkswagen Golf TSI,Price on request,2015,1800 CC,In Stock,Auto,White,Petrol,2 WD,https://www.motorhub.co.ke/detail/volkswagen-golf-975,https://www.motorhub.co.ke/reserve/volkswagen-golf-975
MTH2544,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_f1c0351fdf61c504eb1551bf179a2b9f_30032023120505.JPG,Honda FIT ,Price on request,2015,1500 CC,In Stock,Auto,White,Petrol,2 WD,https://www.motorhub.co.ke/detail/honda-fit-974,https://www.motorhub.co.ke/reserve/honda-fit-974
MTH2543,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_131de6282d0063c028a3630280516f6f_30032023115646.JPG,Mercedes-Benz GLA250 ,Price on request,2014,2500 CC,In Stock,Auto,Black,Petrol,4 WD,https://www.motorhub.co.ke/detail/mercedes-benz-gla250-973,https://www.motorhub.co.ke/reserve/mercedes-benz-gla250-973
MTH2542,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_7a87ba03f1e800473ad005e6cb62b9e2_30032023114245.JPG,Subaru Forester XT,Price on request,2015,2000 CC,In Stock,Auto,Green,Petrol,4 WD,https://www.motorhub.co.ke/detail/subaru-forester-972,https://www.motorhub.co.ke/reserve/subaru-forester-972
MTH2541,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_3f2897edc5ca792e14baa543ad8821a8_30032023113210.JPG,Subaru Forester AWD,Price on request,2015,2500 CC,In Stock,Auto,Grey,Petrol,4 WD,https://www.motorhub.co.ke/detail/subaru-forester-971,https://www.motorhub.co.ke/reserve/subaru-forester-971
MTH2540,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_e52e86c8a5317936bb15f465e1c2623d_30032023102346.jpeg,Porsche Cayenne V6,"KSh 6,800,000",2016,3000 CC,Shipping,Auto,Dark Blue,Diesel,4 WD,https://www.motorhub.co.ke/detail/porsche-cayenne-970,https://www.motorhub.co.ke/reserve/porsche-cayenne-970
MTH2539,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_6671e876dc10598c1b587ae304138813_30032023102134.jpeg,Porsche Cayenne V6,Request Price Below,2016,3000 CC,Shipping,Auto,Bronze,Diesel,4 WD,https://www.motorhub.co.ke/detail/porsche-cayenne-969,https://www.motorhub.co.ke/reserve/porsche-cayenne-969
MTH2538,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_d20a3343ce0c2b1323e69e2e404b037b_30032023110849.JPG,Ford Everest XLT,Price on request,2016,3200 CC,In Stock,Auto,Silver,Diesel,4 WD,https://www.motorhub.co.ke/detail/ford-everest-968,https://www.motorhub.co.ke/reserve/ford-everest-968
MTH2537,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_085a075def2dcdb7b5dfa6eda0c9f728_30032023101244.JPG,Mazda Demio ,Price on request,2016,1300 CC,In Stock,Auto,Blue,Petrol,2 WD,https://www.motorhub.co.ke/detail/mazda-demio-967,https://www.motorhub.co.ke/reserve/mazda-demio-967
MTH2536,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_eaa237b64e0b9e6d001c0d91975f6a5d_29032023041915.JPG,Mazda CX-3 AWD,"KSh 2,100,000",2015,1500 CC,In Stock,Auto,Blue,Diesel,4 WD,https://www.motorhub.co.ke/detail/mazda-cx-3-966,https://www.motorhub.co.ke/reserve/mazda-cx-3-966
MTH2535,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_e072b1b64efb79a48343617ed2e5b94a_29032023040549.JPG,Honda CRV AWD,"KSh 3,350,000",2015,2400 CC,In Stock,Auto,Black,Petrol,4 WD,https://www.motorhub.co.ke/detail/honda-crv-965,https://www.motorhub.co.ke/reserve/honda-crv-965
MTH2533,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_2ee8316d642fca16aeb16b0c7dc8159e_29032023022515.JPG,Mercedes-Benz C-Class C200,Price On Request,2015,2000 CC,In Stock,Auto,Silver,Petrol,2 WD,https://www.motorhub.co.ke/detail/mercedes-benz-c-class-963,https://www.motorhub.co.ke/reserve/mercedes-benz-c-class-963
MTH2532,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_37d5988805144be79035ced99347e669_29032023124809.JPG,Mercedes-Benz C-Class C200,Price On Request,2015,2000 CC,In Stock,Auto,Silver,Petrol,2 WD,https://www.motorhub.co.ke/detail/mercedes-benz-c-class-962,https://www.motorhub.co.ke/reserve/mercedes-benz-c-class-962
MTH2531,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_7a602fbb27f63a93798e833ec5c3452a_29032023123548.JPG,Mercedes-Benz C-Class C200,Price On Request,2015,1800 CC,In Stock,Auto,White,Petrol,2 WD,https://www.motorhub.co.ke/detail/mercedes-benz-c-class-961,https://www.motorhub.co.ke/reserve/mercedes-benz-c-class-961
MTH2530,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_714132303cfdc5fbafddf15175a7382f_28032023124622.JPG,Toyota Axio Hybrid,Request Price Below,2015,1500 CC,In Stock,Auto,White,Petrol,2 WD,https://www.motorhub.co.ke/detail/toyota-axio-960,https://www.motorhub.co.ke/reserve/toyota-axio-960
MTH2529,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_981622fd1ea41054f811d835062c86f0_28032023123431.JPG,Mazda Axela Sedan,"KSh 1,650,000",2015,1500 CC,In Stock,Auto,Bronze,Petrol,2 WD,https://www.motorhub.co.ke/detail/mazda-axela-959,https://www.motorhub.co.ke/reserve/mazda-axela-959
MTH2528,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_88ce40facab0266229f86794c357bf84_28032023122823.JPG,Suzuki Alto New Shape,"KSh 780,000",2015,660 CC,In Stock,Auto,Silver,Petrol,2 WD,https://www.motorhub.co.ke/detail/suzuki-alto-958,https://www.motorhub.co.ke/reserve/suzuki-alto-958
MTH2527,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_f56e5a325a4eb84bcef2cc2c41e45e64_24032023093441.JPG,Toyota RAV4 New Shape {Fully Loaded},"KSh 5,800,000",2019,2000 CC,In Stock,Auto,Red,Petrol,4 WD,https://www.motorhub.co.ke/detail/toyota-rav4-957,https://www.motorhub.co.ke/reserve/toyota-rav4-957
MTH2526,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_96a922141780fe3cb25e55b8dbb0721a_24032023091151.JPG,Toyota Land Cruiser V8 ZX,Request Price Below,2015,4600 CC,In Stock,Auto,Black,Petrol,4 WD,https://www.motorhub.co.ke/detail/toyota-land-cruiser-v8-956,https://www.motorhub.co.ke/reserve/toyota-land-cruiser-v8-956
MTH2525,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_8219d0eef00852680e926963c2864792_23032023023711.JPG,Toyota Fortuner 2.4 GD6,"KSh 5,900,000",2017,2400 CC,In Stock,Auto,Bronze,Diesel,4 WD,https://www.motorhub.co.ke/detail/toyota-fortuner-955,https://www.motorhub.co.ke/reserve/toyota-fortuner-955
MTH2523,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_55934521c4e3e19328f962a088d0fa81_09032023103852.JPG,Toyota Land Cruiser Prado TX,"KSh 6,900,000",2016,2800 CC,In Stock,Auto,White,Diesel,4 WD,https://www.motorhub.co.ke/detail/toyota-land-cruiser-prado-953,https://www.motorhub.co.ke/reserve/toyota-land-cruiser-prado-953
MTH2522,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_00258001d613baf5d4d97bb19d6b71b4_09032023101618.JPG,Toyota Land Cruiser Prado TX,"KSh 6,900,000",2016,2800 CC,In Stock,Auto,White,Diesel,4 WD,https://www.motorhub.co.ke/detail/toyota-land-cruiser-prado-952,https://www.motorhub.co.ke/reserve/toyota-land-cruiser-prado-952
MTH2521,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_9c3a1c4f094d1d5f9bf85f8d6ca61c82_02032023040616.JPG,Land Rover Discovery IV SDV6,Request Price Below,2015,3000 CC,In Stock,Auto,Black,Diesel,4 WD,https://www.motorhub.co.ke/detail/land-rover-discovery-951,https://www.motorhub.co.ke/reserve/land-rover-discovery-951
MTH2520,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_7aabc4213de1acd0e493a5307eaf58c4_02032023035935.JPG,Subaru Outback ,"KSh 1,850,000",2013,2500 CC,In Stock,Auto,Black,Petrol,4 WD,https://www.motorhub.co.ke/detail/subaru-outback-950,https://www.motorhub.co.ke/reserve/subaru-outback-950
MTH2519,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_2e84bfb2cfa94ac9ffa34b6896812ca0_02032023035503.JPG,Subaru Outback Full Spec,"KSh 3,350,000",2015,2500 CC,In Stock,Auto,Black,Petrol,4 WD,https://www.motorhub.co.ke/detail/subaru-outback-949,https://www.motorhub.co.ke/reserve/subaru-outback-949
MTH2518,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_5df9ca096a0b644f1067875afee910ed_02032023031826.JPG,Subaru Outback ,"KSh 3,200,000",2015,2500 CC,In Stock,Auto,Black,Petrol,4 WD,https://www.motorhub.co.ke/detail/subaru-outback-948,https://www.motorhub.co.ke/reserve/subaru-outback-948
MTH2517,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_c5196c6aa8d27b1741fce3c89cc87b06_02032023030415.JPG,Nissan Note ,"KSh 1,100,000",2015,1200 CC,In Stock,Auto,Pink,Petrol,2 WD,https://www.motorhub.co.ke/detail/nissan-note-947,https://www.motorhub.co.ke/reserve/nissan-note-947
MTH2516,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_8119a78515b41d527d92cfbb616a1b84_02032023030032.JPG,Nissan March ,"KSh 860,000",2015,1200 CC,In Stock,Auto,White,Petrol,2 WD,https://www.motorhub.co.ke/detail/nissan-march-946,https://www.motorhub.co.ke/reserve/nissan-march-946
MTH2515,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_4c8c9b442f93018c06183f0e0b7570fc_02032023013902.JPG,Land Rover Discovery IV HSE LUXURY,"KSh 5,200,000",2014,3000 CC,In Stock,Auto,Black,Diesel,4 WD,https://www.motorhub.co.ke/detail/land-rover-discovery-945,https://www.motorhub.co.ke/reserve/land-rover-discovery-945
MTH2513,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_9abff3b65912f67f751ed0334a6363dd_02032023125755.JPG,Mitsubishi Outlander ,"KSh 3,550,000",2015,2400 CC,In Stock,Auto,Black,Petrol,4 WD,https://www.motorhub.co.ke/detail/mitsubishi-outlander-943,https://www.motorhub.co.ke/reserve/mitsubishi-outlander-943
MTH2512,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_b7f4467886a17d6d2c22b1b687901ee6_27022023031720.JPG,Toyota Land Cruiser Prado TX,"KSh 5,990,000",2015,2700 CC,In Stock,Auto,Bronze,Petrol,4 WD,https://www.motorhub.co.ke/detail/toyota-land-cruiser-prado-942,https://www.motorhub.co.ke/reserve/toyota-land-cruiser-prado-942
MTH2511,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_f240c5d33ea2c10b43530170434c355f_27022023020252.JPG,Toyota Land Cruiser Prado TX,Request Price Below,2017,2800 CC,In Stock,Auto,Black,Diesel,4 WD,https://www.motorhub.co.ke/detail/toyota-land-cruiser-prado-941,https://www.motorhub.co.ke/reserve/toyota-land-cruiser-prado-941
MTH2510,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_834845e810949822845e1d9efe991cfd_27022023013806.JPG,Toyota Land Cruiser Prado TX,Request Price Below,2017,2800 CC,In Stock,Auto,White,Diesel,4 WD,https://www.motorhub.co.ke/detail/toyota-land-cruiser-prado-940,https://www.motorhub.co.ke/reserve/toyota-land-cruiser-prado-940
MTH2509,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_a6e81b0fcd8cb451bc350213f2f921de_27022023011616.JPG,Toyota Land Cruiser Prado TZ-G,"KSh 6,700,000",2015,2800 CC,In Stock,Auto,White,Diesel,4 WD,https://www.motorhub.co.ke/detail/toyota-land-cruiser-prado-939,https://www.motorhub.co.ke/reserve/toyota-land-cruiser-prado-939
MTH2508,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_2d8e13129b1ee30671427377f51c5f36_27022023122943.JPG,Nissan Sylphy ,"KSh 1,450,000",2014,1800 CC,In Stock,Auto,Black,Petrol,2 WD,https://www.motorhub.co.ke/detail/nissan-sylphy-938,https://www.motorhub.co.ke/reserve/nissan-sylphy-938
MTH2507,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_9b94eba9f0082351f542776491fd3830_27022023122040.JPG,Toyota Sienta ,Request Price Below,2015,1500 CC,In Stock,Auto,Purple,Petrol,2 WD,https://www.motorhub.co.ke/detail/toyota-sienta-937,https://www.motorhub.co.ke/reserve/toyota-sienta-937
MTH2506,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_ac518ffbb3ab4a24bbbc17b2b5f554a8_27022023115213.JPG,Toyota Vitz Optional 4WD,Request Price Below,2015,1300 CC,In Stock,Auto,White,Petrol,4 WD,https://www.motorhub.co.ke/detail/toyota-vitz-936,https://www.motorhub.co.ke/reserve/toyota-vitz-936
MTH2505,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_b580e95855c6799156b47656b33ebd05_24022023034607.jpeg,Land Rover Discovery IV Landmark Edition,"KSh 6,900,000",2016,3000 CC,Shipping,Auto,Copper Brown,Diesel,4 WD,https://www.motorhub.co.ke/detail/land-rover-discovery-935,https://www.motorhub.co.ke/reserve/land-rover-discovery-935
MTH2504,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_b600aa8fc85165caa23f6242ec0db772_24022023030208.jpeg,Land Rover Range Rover Autobiography,"KSh 19,900,000",2018,3000 CC,Shipping,Auto,Grey,Diesel,4 WD,https://www.motorhub.co.ke/detail/land-rover-range-rover-934,https://www.motorhub.co.ke/reserve/land-rover-range-rover-934
MTH2503,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_c0c34856621b4636112d5901919c0911_23022023023324.jpeg,Land Rover Defender Supercharged V8 L663,Request Price Below,2022,5000 CC,Shipping,Auto,Grey,Petrol,4 WD,https://www.motorhub.co.ke/detail/land-rover-defender-933,https://www.motorhub.co.ke/reserve/land-rover-defender-933
MTH2502,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_18f58258c08d0f0607cb61f211de4bb5_23022023124904.JPG,Land Rover Range Rover Vogue,"KSh 18,900,000",2018,3000 CC,In Stock,Auto,Gold,Diesel,4 WD,https://www.motorhub.co.ke/detail/land-rover-range-rover-932,https://www.motorhub.co.ke/reserve/land-rover-range-rover-932
MTH2500,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_56937112fc8b09a097288eab079690f5_20022023120640.JPG,Subaru Forester ,"KSh 2,920,000",2015,2000 CC,In Stock,Auto,Red,Petrol,4 WD,https://www.motorhub.co.ke/detail/subaru-forester-930,https://www.motorhub.co.ke/reserve/subaru-forester-930
MTH2499,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_bad8f3f248df2ae88cb850aadd005b48_17022023023031.JPG,Toyota Hilux Vigo Champ E Grade (Offroader),Request Price Below,2014,3000 CC,In Stock,Auto,White,Diesel,4 WD,https://www.motorhub.co.ke/detail/toyota-hilux-929,https://www.motorhub.co.ke/reserve/toyota-hilux-929
MTH2498,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_ee37a14573ada513675ae2962d64fc17_17022023021910.JPG,Land Rover Discovery IV HSE SDV6,"KSh 6,650,000",2015,3000 CC,In Stock,Auto,Grey,Diesel,4 WD,https://www.motorhub.co.ke/detail/land-rover-discovery-928,https://www.motorhub.co.ke/reserve/land-rover-discovery-928
MTH2497,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_41e6e30876d956fb04e9284a070b09f9_17022023020946.JPG,Subaru Forester ,"KSh 2,950,000",2015,2000 CC,In Stock,Auto,Black,Petrol,4 WD,https://www.motorhub.co.ke/detail/subaru-forester-927,https://www.motorhub.co.ke/reserve/subaru-forester-927
MTH2496,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_582a46b8757acdf41b0d3f3594e4fe9c_17022023020244.JPG,Nissan Xtrail ,Request Price Below,2016,2000 CC,In Stock,Auto,Silver,Petrol,4 WD,https://www.motorhub.co.ke/detail/nissan-xtrail-926,https://www.motorhub.co.ke/reserve/nissan-xtrail-926
MTH2495,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_c8ba5cb35c78a24c05534198f97836e6_17022023010229.JPG,Nissan Xtrail ,Request Price Below,2015,2000 CC,In Stock,Auto,Black,Petrol,4 WD,https://www.motorhub.co.ke/detail/nissan-xtrail-925,https://www.motorhub.co.ke/reserve/nissan-xtrail-925
MTH2494,https://www.motorhub.co.ke/assets/images/CarPhotos/Large_b74d7bfec6a75fbacfbce7a16b9bbe64_17022023125629.JPG,Ford Ranger 3.2L Duratorq,Request Price Below,2015,3200 CC,In Stock,Auto,Black,Diesel,4 WD,https://www.motorhub.co.ke/detail/ford-ranger-924,https://www.motorhub.co.ke/reserve/ford-ranger-924
